patient,file,start_sec,end_sec,label,channel,model,drive,noise_intensity,substeps,trial,seed,detector,target_frequency,snr_db,input_snr_db,snr_interpretation,clipped_fraction,noise_convention,initial_state,clip,events,intervals,discarded_intervals,ddof,cv,coherence,valid,reason,zero_noise_snr_db,snr_change_vs_zero_noise_db,snr_change_vs_input_db
chb08,chb08_21.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.0,1,0,11246914186339654880,bistable hysteresis; CV sample SD; five intervals,2.25,11.46455637153226,11.724495682205001,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,11.46455637153226,0.0,-0.2599393106727419
chb08,chb08_21.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.0,1,1,6035664361125705715,bistable hysteresis; CV sample SD; five intervals,2.25,11.46455637153226,11.724495682205001,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,11.46455637153226,0.0,-0.2599393106727419
chb08,chb08_21.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.0,1,2,4510323369277704900,bistable hysteresis; CV sample SD; five intervals,2.25,11.46455637153226,11.724495682205001,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,11.46455637153226,0.0,-0.2599393106727419
chb08,chb08_21.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.1,1,0,11246914186339654880,bistable hysteresis; CV sample SD; five intervals,2.25,-4.873657442976343,11.724495682205001,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,11.46455637153226,-16.338213814508602,-16.598153125181344
chb08,chb08_21.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.1,1,1,6035664361125705715,bistable hysteresis; CV sample SD; five intervals,2.25,-2.580179084854956,11.724495682205001,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,11.46455637153226,-14.044735456387215,-14.304674767059957
chb08,chb08_21.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.1,1,2,4510323369277704900,bistable hysteresis; CV sample SD; five intervals,2.25,-15.547413704291788,11.724495682205001,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,11.46455637153226,-27.011970075824046,-27.271909386496787
chb08,chb08_21.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.5,1,0,11246914186339654880,bistable hysteresis; CV sample SD; five intervals,2.25,-9.880652789431725,11.724495682205001,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,1,0,0,1,,,False,insufficient_intervals,11.46455637153226,-21.345209160963982,-21.605148471636724
chb08,chb08_21.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.5,1,1,6035664361125705715,bistable hysteresis; CV sample SD; five intervals,2.25,-5.365884938080453,11.724495682205001,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,1,0,0,1,,,False,insufficient_intervals,11.46455637153226,-16.830441309612713,-17.090380620285455
chb08,chb08_21.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.5,1,2,4510323369277704900,bistable hysteresis; CV sample SD; five intervals,2.25,-15.240653120699331,11.724495682205001,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,11.46455637153226,-26.70520949223159,-26.96514880290433
chb08,chb08_21.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,2.0,1,0,11246914186339654880,bistable hysteresis; CV sample SD; five intervals,2.25,-7.2523860468038155,11.724495682205001,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,3,2,0,1,,,False,insufficient_intervals,11.46455637153226,-18.716942418336075,-18.976881729008817
chb08,chb08_21.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,2.0,1,1,6035664361125705715,bistable hysteresis; CV sample SD; five intervals,2.25,-5.698404405806351,11.724495682205001,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,3,2,0,1,,,False,insufficient_intervals,11.46455637153226,-17.16296077733861,-17.422900088011353
chb08,chb08_21.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,2.0,1,2,4510323369277704900,bistable hysteresis; CV sample SD; five intervals,2.25,-12.950419165443073,11.724495682205001,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,2,1,0,1,,,False,insufficient_intervals,11.46455637153226,-24.414975536975334,-24.674914847648076
chb08,chb08_21.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.0,2,0,5467364685018783524,bistable hysteresis; CV sample SD; five intervals,2.25,11.463562777230038,11.724495682205001,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,11.463562777230038,0.0,-0.2609329049749629
chb08,chb08_21.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.0,2,1,5039564222463091381,bistable hysteresis; CV sample SD; five intervals,2.25,11.463562777230038,11.724495682205001,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,11.463562777230038,0.0,-0.2609329049749629
chb08,chb08_21.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.0,2,2,6150676883091691409,bistable hysteresis; CV sample SD; five intervals,2.25,11.463562777230038,11.724495682205001,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,11.463562777230038,0.0,-0.2609329049749629
chb08,chb08_21.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.1,2,0,5467364685018783524,bistable hysteresis; CV sample SD; five intervals,2.25,-6.369832102918243,11.724495682205001,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,11.463562777230038,-17.833394880148283,-18.094327785123244
chb08,chb08_21.edf,0.0,4.0,0,FP1-F7,bistable_driven_regularity,eeg_component,0.1,2,1,5039564222463091381,bistable hysteresis; CV sample SD; five intervals,2.25,-5.697795916816329,11.724495682205001,local target-band PSD ratio; control is noise-only,0.0,sqrt(2Ddt),-1.0,3.0,0,0,0,1,,,False,insufficient_intervals,11.463562777230038,-17.161358694046367,-17.422291599021328
