patient,file,start_sec,end_sec,label,channel,frequency_hz,psd_v2_hz,nperseg,units
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,0.0,9.574149017053903e-12,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,1.0,9.517064670602443e-11,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,2.0,1.5506204496738056e-10,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,3.0,7.835610096913318e-11,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,4.0,3.047375504074712e-11,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,5.0,1.804820970449828e-11,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,6.0,2.739000918941701e-11,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,7.0,1.767103157151465e-11,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,8.0,1.4557322880587032e-11,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,9.0,9.233773390171715e-12,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,10.0,4.167057766274414e-11,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,11.0,1.5128900156906078e-10,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,12.0,1.2246718690982137e-10,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,13.0,3.617813594405914e-11,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,14.0,5.564320501135845e-12,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,15.0,3.1075868916361106e-12,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,16.0,4.222374206268013e-12,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,17.0,2.2233063780070346e-12,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,18.0,1.3543435152717775e-12,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,19.0,5.206494677134675e-13,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,20.0,6.707458578807186e-13,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,21.0,7.339128173177793e-13,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,22.0,5.470288796760869e-13,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,23.0,3.0394280412631684e-13,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,24.0,1.8264554779158543e-13,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,25.0,1.70845451282873e-13,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,26.0,1.9329898444641767e-13,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,27.0,1.4877077352661488e-13,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,28.0,2.285632317010503e-13,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,29.0,1.6585756246791095e-13,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,30.0,9.448183708463133e-14,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,31.0,9.306510002324162e-13,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,32.0,3.1646205145014263e-12,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,33.0,8.277151781468133e-13,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,34.0,1.5828558765802414e-13,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,35.0,1.1060895221962177e-13,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,36.0,1.3621080507209319e-13,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,37.0,5.966976052445665e-14,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,38.0,4.000668459146434e-14,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,39.0,2.89462155500546e-14,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,40.0,1.5745085634641186e-14,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,41.0,1.9946021610837696e-14,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,42.0,3.9162835986698866e-14,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,43.0,4.453124856242911e-14,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,44.0,8.360480134065293e-14,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,45.0,2.4052420979114427e-14,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,46.0,1.271586410269046e-15,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,47.0,1.6141871573005072e-15,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,48.0,3.537106035485975e-15,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,49.0,8.436608684286325e-16,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,50.0,1.3715260710711806e-18,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,51.0,1.4962368399051643e-19,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,52.0,3.8165623809637314e-20,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,53.0,2.6634829294682163e-20,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,54.0,1.6488136154492608e-20,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,55.0,1.0422750364039993e-20,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,56.0,1.0195217721035805e-20,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,57.0,6.530984984220968e-21,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,58.0,5.610212189943705e-21,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,59.0,2.702437862680882e-21,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,60.0,1.0013942136169031e-20,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,61.0,2.5343055661512537e-21,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,62.0,2.4671024824798567e-21,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,63.0,2.4248018602235586e-21,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,64.0,2.5278933108990647e-21,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,65.0,1.7979533224943795e-21,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,66.0,1.6969759336031932e-21,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,67.0,1.058074802977253e-21,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,68.0,1.4834776441351926e-21,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,69.0,1.9403029877425136e-21,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,70.0,8.025109666621438e-22,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,71.0,1.1210530491385768e-21,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,72.0,1.267289686191294e-21,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,73.0,6.959878042784732e-22,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,74.0,1.8656638903259115e-21,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,75.0,5.966326405546754e-21,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,76.0,1.8385159566526602e-20,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,77.0,5.3050879702709965e-21,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,78.0,8.795009923391528e-22,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,79.0,1.3779207398196296e-21,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,80.0,4.74341836428087e-21,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,81.0,2.7454153444703295e-21,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,82.0,4.3683787703524595e-22,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,83.0,9.23101920575227e-22,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,84.0,2.045741940271905e-21,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,85.0,5.1223493835303235e-22,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,86.0,4.508255272102024e-22,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,87.0,3.228711688550239e-22,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,88.0,4.393808985055461e-22,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,89.0,2.6375642811527714e-22,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,90.0,1.07847571876744e-22,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,91.0,1.909019847836967e-22,256,V2/Hz
chb01,chb01_03.edf,0.0,4.0,0,FP1-F7,92.0,3.0918234008980867e-22,256,V2/Hz
