patient,file,start_sec,end_sec,label,model,drive,substeps,metric,noise_intensity,value,status,valid_trials,interpretation
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,1,coherence_median,2.0,1.2833537733581977,boundary_maximum,3.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,1,snr_mean,0.0,9.987829738241324,boundary_maximum,3.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,2,coherence_median,2.0,1.0420355160784358,boundary_maximum,2.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,2,snr_mean,0.0,9.98783066670718,boundary_maximum,3.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,1,coherence_median,2.0,1.2833537733581977,boundary_maximum,3.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,1,snr_mean,0.1,2.7740825444400024,interior_grid_maximum,3.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,2,coherence_median,2.0,1.0420355160784358,boundary_maximum,2.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,2,snr_mean,0.5,-1.6345796160183739,interior_grid_maximum,3.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,eeg_component,1,coherence_median,0.1,4.751757631882539,interior_grid_maximum,1.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,eeg_component,1,snr_mean,0.0,9.9956607259383,boundary_maximum,3.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,eeg_component,2,coherence_median,2.0,2.8341444614209026,boundary_maximum,2.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,eeg_component,2,snr_mean,0.0,9.99563450553232,boundary_maximum,3.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,no_external_drive,1,coherence_median,0.1,4.751757631882539,interior_grid_maximum,1.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,no_external_drive,1,snr_mean,0.1,4.127403770142437,interior_grid_maximum,3.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,no_external_drive,2,coherence_median,2.0,4.538169463434905,boundary_maximum,3.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,0.0,4.0,0,fhn_sde,no_external_drive,2,snr_mean,0.0,-1.0966146032436788,boundary_maximum,3.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,eeg_component,1,coherence_median,,,no_valid_measurement,,
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,eeg_component,1,snr_mean,0.0,12.591317526953837,boundary_maximum,3.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,eeg_component,2,coherence_median,2.0,2.6364947765949567,boundary_maximum,1.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,eeg_component,2,snr_mean,0.0,12.59120979559282,boundary_maximum,3.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,no_external_drive,1,coherence_median,,,no_valid_measurement,,
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,no_external_drive,1,snr_mean,0.5,-3.9547820113940575,interior_grid_maximum,3.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,no_external_drive,2,coherence_median,2.0,2.6433596668467367,boundary_maximum,1.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,3000.0,3004.0,1,bistable_driven_regularity,no_external_drive,2,snr_mean,0.5,-6.268792334074949,interior_grid_maximum,3.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,eeg_component,1,coherence_median,0.1,6.274064801660337,interior_grid_maximum,2.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,eeg_component,1,snr_mean,0.0,12.4153279563708,boundary_maximum,3.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,eeg_component,2,coherence_median,2.0,1.9894433450888918,boundary_maximum,2.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,eeg_component,2,snr_mean,0.0,12.415926576033193,boundary_maximum,3.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,no_external_drive,1,coherence_median,0.1,11.000921356766863,interior_grid_maximum,2.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,no_external_drive,1,snr_mean,2.0,-2.55749932247096,boundary_maximum,3.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,no_external_drive,2,coherence_median,2.0,1.9456357771803436,boundary_maximum,2.0,descriptive only; not a resonance claim
chb01,chb01_03.edf,3000.0,3004.0,1,fhn_sde,no_external_drive,2,snr_mean,2.0,-9.807751143288362,boundary_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,1,coherence_median,,,no_valid_measurement,,
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,1,snr_mean,0.0,14.25681675413738,boundary_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,2,coherence_median,,,no_valid_measurement,,
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,eeg_component,2,snr_mean,0.0,14.256813962561537,boundary_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,1,coherence_median,,,no_valid_measurement,,
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,1,snr_mean,0.1,-1.9429506276325779,interior_grid_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,2,coherence_median,,,no_valid_measurement,,
chb02,chb02_16+.edf,0.0,4.0,0,bistable_driven_regularity,no_external_drive,2,snr_mean,0.1,0.8150251389337888,interior_grid_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,eeg_component,1,coherence_median,0.0,136.47160876900367,boundary_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,eeg_component,1,snr_mean,0.0,14.251319268590715,boundary_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,eeg_component,2,coherence_median,0.0,136.47160876900367,boundary_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,eeg_component,2,snr_mean,0.0,14.251311191348881,boundary_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,no_external_drive,1,coherence_median,2.0,5.119018144178146,boundary_maximum,2.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,no_external_drive,1,snr_mean,0.0,-0.5670379183563145,boundary_maximum,3.0,descriptive only; not a resonance claim
chb02,chb02_16+.edf,0.0,4.0,0,fhn_sde,no_external_drive,2,coherence_median,0.5,2.606012132693108,interior_grid_maximum,3.0,descriptive only; not a resonance claim
